dataset,group,scenario,cq,se_A_flag,se_B_flag,et_A_flag,et_B_flag,source_deviation,framing_bias,notes
Polifonia,Gold,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata","Did musician X and performer Y ever meet? Where, when, and why?",ok,ABOVE,ok,ok,,,
Polifonia,Gold,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam",What was the disposition of the organ at a specific point in time?,ok,ABOVE,ok,ok,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",How can a new event be added to the schedule without causing conflicts?,ABOVE,ABOVE,BELOW,BELOW,,,
CVN,NeoNGPT_GPT4o,"Recycling of a product may depend on its material composition, efficiency of recycling.",9. What are the environmental impacts associated with recycling a specific material?,ok,ok,ABOVE,ABOVE,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",How is the ontology maintained and updated with new data and requirements?,BELOW,BELOW,ok,ok,,,
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",How does the ontology ensure scalability for networks of varying sizes?,BELOW,BELOW,ok,ok,,,
Polifonia,Gold,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge about organs, he is uncertain about some of the information that was provided by the encyclopaedia. That is, some of the mentioned components and technicalities such as the pitch seemed illogical when compared to the other organs from the same organ builder. If it would somehow be possible to mark facts that are unreliable or untrue, that would save Paul a lot of time checking, verifying, and notating.
    Het Historische Orgel in Nederland – Dutch organ encyclopedia
    http://www.orgbase.nl – Dutch hobbyist-made website with information similar to Het Historische Orgel
    Church and city archives
    Old newspapers
    https://www.delpher.nl – digital database from the Dutch Royal Library
    Organs (sight visits)
    http://www.dtbob.org/ – Belgian digital organ database",Which is the context of production of a source?,ok,ABOVE,ABOVE,ABOVE,,,
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What are the secondary values created within the network?,BELOW,BELOW,ok,ok,,,
CVN,NeoNGPT_GPT4o,"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.",15. How does the ontology support decision-making processes in resource management and optimization?,BELOW,ok,ok,ok,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",How can the ontology be extended to include additional personal hygiene activities?,ABOVE,ABOVE,ok,ok,,,
CVN,NeoNGPT_GPT4o,"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",14. What are the relationships between different forms of value in the network?,BELOW,BELOW,ok,ok,,,
Polifonia,NeoNGPT_GPT4o,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",How can reasoning be applied to infer new knowledge about non-elite music from existing data?,ok,ok,ABOVE,ABOVE,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",How can the smart bathroom system be integrated with other smart home systems and devices?,ok,ok,BELOW,BELOW,,,
CVN,NeoNGPT_GPT4o,"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",5. What is the hierarchical structure of a given product?,BELOW,BELOW,ok,ok,,,
