dataset,group,scenario,cq,source_deviation,framing_bias,notes,gold_source_deviation,gold_framing_bias
Polifonia,OntoChat,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",How are the events and facts linked to the sources in the database?,,,,N,N
CVN,NeoNGPT_GPT4o,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,How can competencies be mapped to specific roles within the network?,,,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",How can prosopographic information about a musician be linked to their events and interactions?,,,,,
CVN,NeoNGPT_GPT4o,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).","1. What are the attributes of a specific product, including type, quantity, and location?",,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",How can the ontology support strategic planning for future water needs?,,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",How can the ontology facilitate effective communication with stakeholders?,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.","Which cinemas are screening the film ""X-men""?",,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,6. How can smart home devices access the latest weather data for Berlin?,,,,,
Polifonia,NeoNGPT_GPT4o,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",How can the ontology support the exploration of musical evolution and transmission over time?,,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,What weather parameters are modeled in the ontology for Berlin during the morning?,,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",What standardized terminology is used for reporting and communication purposes?,,,,,
