dataset,group,scenario,cq,se_A_flag,se_B_flag,se_A,se_B,et_A_flag,et_B_flag,et_A,et_B,superfluous_elements,eval_terms
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What are the different types of actors within the circular value network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What roles do actors play in the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What resources are utilized by each actor in the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What competencies do actors bring to the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What are the primary value propositions generated by the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What are the secondary values created within the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",How do actors interact with each other in the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What relationships exist between different actors in the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",What processes govern the operations of the network?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,1: processes,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",How is the logic of network operations represented?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,1: represented,0
CVN,NeoNGPT_GPT4o,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",How can secondary values be applied in different contexts?,BELOW,BELOW,0.55,0.6,ok,ok,0.1,0.1,0,0
