ID,Scenario,Question,Source,source_consistency,superfluous_elements,framing_bias,eval_terms,structural_assumption,NOTES
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the biographical details of a specific organ builder?,GPT4o,No,1 (biography),No,0,0,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",Which projects has a particular organ builder undertaken?,GPT4o,No,0,No,0,0,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the historical aspects of a specific organ?,GPT4o,No,No,?,?,?,scenario mentions arthistorical not historical...
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the technical specifications of a particular organ?,GPT4o,No,0,No,0,No,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the art-historical aspects of a specific organ?,GPT4o,,0,,,,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",How has the size of a particular organ changed over time?,GPT4o,,0,,,,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What is the geographical location of a specific organ project?,GPT4o,,1: geographical location,,,,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",Which organ projects were undertaken in a specific locality?,GPT4o,,0,,,,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",How has the prestige of a particular organ project evolved over time?,GPT4o,,0,,,,
,"Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builder worked on and how their projects developed over time. This development can range from an increase of the size of the organ, to locality of their projects, or to the type or prestige of the project. The history section of the 15-part organ encyclopaedia is mostly used for this as this specifies year and changes that are made to the organs, but this obviously takes a lot of time and effort to research. 
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the temporal developments of a specific organ project?,GPT4o,,0,,,,
