scenario,dataset,group,llm_type,n_valid,A,A_flag,B,B_flag
A circular value network consists of one or many actors that,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
A circular value network has some process which outlines wor,IB_WHOW_CVN,Gold,human,3,0.333,ok,0.667,ok
A manufacturer of a product needs to understand the composit,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
"A product is made up of components, which in turn are made u",IB_WHOW_CVN,Gold,human,1,1.0,ok,1.0,ok
Actors collaborate to achieve the value proposition of the c,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
An inventory consists of products (materials) and their quan,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
"Based on the fact that I have the evening off, that it is go",IB_WHOW_CVN,Gold,human,2,1.0,ok,3.0,ABOVE
Each circular value network has certain inputs that drive th,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
For each piece of work an actor does for a certain part of a,IB_WHOW_CVN,Gold,human,1,1.0,ok,1.0,ok
I am alone in the bathroom. I am standing facing the mirror ,IB_WHOW_CVN,Gold,human,3,0.667,ok,1.0,ok
I am living in Berlin and I like to get the local weather di,IB_WHOW_CVN,Gold,human,2,1.0,ok,1.5,ok
"I like going to the movies when it is raining, and I especia",IB_WHOW_CVN,Gold,human,2,1.0,ok,1.5,ok
I was brushing my teeth in the bathroom on Thursday morning.,IB_WHOW_CVN,Gold,human,3,1.0,ok,1.333,ok
Recycling of a product may depend on its material compositio,IB_WHOW_CVN,Gold,human,2,0.5,ok,0.5,ok
Resources are what is worked on in the circular value networ,IB_WHOW_CVN,Gold,human,3,0.0,ok,0.0,ok
"Sage, a water resource manager with a background in environm",IB_WHOW_CVN,Gold,human,2,0.0,ok,0.0,ok
The system asks me if I want to order tickets to a proposed ,IB_WHOW_CVN,Gold,human,2,1.0,ok,2.0,ABOVE
The value proposition that a circular value network holds is,IB_WHOW_CVN,Gold,human,1,0.0,ok,0.0,ok
"There are many different weather services available online, ",IB_WHOW_CVN,Gold,human,3,1.0,ok,1.333,ok
There are several actors involved in a construction use case,IB_WHOW_CVN,Gold,human,2,1.0,ok,1.0,ok
"There is a sneak preview of an action film called ""X-men"" to",IB_WHOW_CVN,Gold,human,3,1.0,ok,1.333,ok
"Today my calendar contains a meeting at noon, but then I hav",IB_WHOW_CVN,Gold,human,2,0.5,ok,0.5,ok
When I am standing in front of the mirror brushing my teeth ,IB_WHOW_CVN,Gold,human,4,0.75,ok,1.0,ok
Amy wants to assess the developments of organ builders. This,Polifonia,Gold,human,1,1.0,ok,1.0,ok
Anna wants to experience live music with the aid of haptic t,Polifonia,Gold,human,2,0.0,ok,0.0,ok
David is interested in understanding the social history of m,Polifonia,Gold,human,2,1.0,ok,1.0,ok
"For her next research project, Amy wants to discover artisti",Polifonia,Gold,human,1,1.0,ok,2.0,ABOVE
Mark is interested in understanding how Dutch folk tunes rel,Polifonia,Gold,human,7,1.0,ok,1.714,ABOVE
Ortenz would like to have a system for visualising events (m,Polifonia,Gold,human,14,0.857,ok,1.714,ABOVE
Patrizia is a Demo-Ethno-anthropologist Officer of the Minis,Polifonia,Gold,human,11,1.0,ok,1.909,ABOVE
Sophia is a musicologist and a practising musician. Sophia i,Polifonia,Gold,human,2,1.0,ok,2.5,ABOVE
"Sophia’s original qualifications, and her Ph.D., were in mus",Polifonia,Gold,human,7,1.0,ok,2.0,ABOVE
Successfully plan the restoration of an organ.. In this scen,Polifonia,Gold,human,6,1.0,ok,1.833,ABOVE
A circular value network consists of one or many actors that,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
A circular value network has some process which outlines wor,IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
A manufacturer of a product needs to understand the composit,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
"A product is made up of components, which in turn are made u",IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
Actors collaborate to achieve the value proposition of the c,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
An inventory consists of products (materials) and their quan,IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
"Based on the fact that I have the evening off, that it is go",IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
Each circular value network has certain inputs that drive th,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
For each piece of work an actor does for a certain part of a,IB_WHOW_CVN,OntoChat,closed,1,0.0,ok,0.0,ok
I am alone in the bathroom. I am standing facing the mirror ,IB_WHOW_CVN,OntoChat,closed,5,0.4,ABOVE,0.4,ABOVE
I am living in Berlin and I like to get the local weather di,IB_WHOW_CVN,OntoChat,closed,5,0.8,ABOVE,0.8,ABOVE
"I like going to the movies when it is raining, and I especia",IB_WHOW_CVN,OntoChat,closed,5,0.6,ABOVE,0.6,ABOVE
I was brushing my teeth in the bathroom on Thursday morning.,IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
Recycling of a product may depend on its material compositio,IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
Resources are what is worked on in the circular value networ,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
"Sage, a water resource manager with a background in environm",IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
The system asks me if I want to order tickets to a proposed ,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
The value proposition that a circular value network holds is,IB_WHOW_CVN,OntoChat,closed,5,0.0,ok,0.0,ok
"There are many different weather services available online, ",IB_WHOW_CVN,OntoChat,closed,5,0.4,ABOVE,0.4,ABOVE
There are several actors involved in a construction use case,IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
"There is a sneak preview of an action film called ""X-men"" to",IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
"Today my calendar contains a meeting at noon, but then I hav",IB_WHOW_CVN,OntoChat,closed,5,0.2,ok,0.2,ok
When I am standing in front of the mirror brushing my teeth ,IB_WHOW_CVN,OntoChat,closed,5,0.4,ABOVE,0.4,ABOVE
Amy wants to assess the developments of organ builders. This,Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
Anna wants to experience live music with the aid of haptic t,Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
David is interested in understanding the social history of m,Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
"For her next research project, Amy wants to discover artisti",Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
Mark is interested in understanding how Dutch folk tunes rel,Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
Ortenz would like to have a system for visualising events (m,Polifonia,OntoChat,closed,5,0.2,ok,0.2,ok
Patrizia is a Demo-Ethno-anthropologist Officer of the Minis,Polifonia,OntoChat,closed,4,0.25,ABOVE,0.25,ABOVE
Sophia is a musicologist and a practising musician. Sophia i,Polifonia,OntoChat,closed,5,0.2,ok,0.2,ok
"Sophia’s original qualifications, and her Ph.D., were in mus",Polifonia,OntoChat,closed,5,0.0,ok,0.0,ok
Successfully plan the restoration of an organ.. In this scen,Polifonia,OntoChat,closed,5,0.2,ok,0.2,ok
A circular value network consists of one or many actors that,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.55,BELOW,0.6,BELOW
A circular value network has some process which outlines wor,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.8,ok,1.3,ok
A manufacturer of a product needs to understand the composit,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.65,BELOW,0.7,BELOW
"A product is made up of components, which in turn are made u",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.7,BELOW,0.75,BELOW
Actors collaborate to achieve the value proposition of the c,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,15,0.8,ok,0.8,ok
An inventory consists of products (materials) and their quan,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.8,ok,1.35,ok
"Based on the fact that I have the evening off, that it is go",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,1.0,ABOVE,1.35,ok
Each circular value network has certain inputs that drive th,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.75,ok,0.85,ok
For each piece of work an actor does for a certain part of a,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,17,0.882,ok,1.294,ok
I am alone in the bathroom. I am standing facing the mirror ,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,1.0,ABOVE,1.8,ABOVE
I am living in Berlin and I like to get the local weather di,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.9,ok,1.3,ok
"I like going to the movies when it is raining, and I especia",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.9,ok,1.55,ABOVE
I was brushing my teeth in the bathroom on Thursday morning.,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,15,1.0,ABOVE,2.667,ABOVE
Recycling of a product may depend on its material compositio,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,25,0.84,ok,1.16,ok
Resources are what is worked on in the circular value networ,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.55,BELOW,0.8,ok
"Sage, a water resource manager with a background in environm",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.75,ok,0.8,ok
The system asks me if I want to order tickets to a proposed ,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.95,ok,1.45,ABOVE
The value proposition that a circular value network holds is,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.65,BELOW,0.7,BELOW
"There are many different weather services available online, ",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.8,ok,1.15,ok
There are several actors involved in a construction use case,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,1.0,ABOVE,1.3,ok
"There is a sneak preview of an action film called ""X-men"" to",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,0.95,ok,1.25,ok
"Today my calendar contains a meeting at noon, but then I hav",IB_WHOW_CVN,NeoNGPT_GPT4o,closed,20,1.0,ABOVE,1.7,ABOVE
When I am standing in front of the mirror brushing my teeth ,IB_WHOW_CVN,NeoNGPT_GPT4o,closed,15,0.933,ok,1.2,ok
Amy wants to assess the developments of organ builders. This,Polifonia,NeoNGPT_GPT4o,closed,25,0.52,BELOW,0.6,BELOW
Anna wants to experience live music with the aid of haptic t,Polifonia,NeoNGPT_GPT4o,closed,20,0.65,BELOW,1.1,ok
David is interested in understanding the social history of m,Polifonia,NeoNGPT_GPT4o,closed,16,0.875,ok,1.0,ok
"For her next research project, Amy wants to discover artisti",Polifonia,NeoNGPT_GPT4o,closed,20,0.9,ok,1.3,ok
Mark is interested in understanding how Dutch folk tunes rel,Polifonia,NeoNGPT_GPT4o,closed,20,0.95,ok,1.0,ok
Ortenz would like to have a system for visualising events (m,Polifonia,NeoNGPT_GPT4o,closed,18,0.556,BELOW,0.722,BELOW
Patrizia is a Demo-Ethno-anthropologist Officer of the Minis,Polifonia,NeoNGPT_GPT4o,closed,20,0.75,ok,1.2,ok
Sophia is a musicologist and a practising musician. Sophia i,Polifonia,NeoNGPT_GPT4o,closed,20,0.95,ok,1.0,ok
"Sophia’s original qualifications, and her Ph.D., were in mus",Polifonia,NeoNGPT_GPT4o,closed,15,1.0,ABOVE,2.733,ABOVE
Successfully plan the restoration of an organ.. In this scen,Polifonia,NeoNGPT_GPT4o,closed,20,1.0,ABOVE,2.4,ABOVE
I am living in Berlin and I like to get the local weather di,IB_WHOW_CVN,NeoNGPT_Qwen3,open,20,1.0,ok,1.8,ok
"I like going to the movies when it is raining, and I especia",IB_WHOW_CVN,NeoNGPT_Qwen3,open,50,1.0,ok,1.7,ok
The system asks me if I want to order tickets to a proposed ,IB_WHOW_CVN,NeoNGPT_Qwen3,open,4,0.5,BELOW,0.5,BELOW
There are several actors involved in a construction use case,IB_WHOW_CVN,NeoNGPT_Qwen3,open,50,0.98,ok,1.14,ok
"There is a sneak preview of an action film called ""X-men"" to",IB_WHOW_CVN,NeoNGPT_Qwen3,open,1,1.0,ok,1.0,BELOW
Anna wants to experience live music with the aid of haptic t,Polifonia,NeoNGPT_Qwen3,open,50,0.82,ok,1.02,ok
"For her next research project, Amy wants to discover artisti",Polifonia,NeoNGPT_Qwen3,open,1,1.0,ok,3.0,ABOVE
"Sophia’s original qualifications, and her Ph.D., were in mus",Polifonia,NeoNGPT_Qwen3,open,1,1.0,ok,2.0,ABOVE
Successfully plan the restoration of an organ.. In this scen,Polifonia,NeoNGPT_Qwen3,open,3,0.333,BELOW,1.333,ok
