dataset,group,scenario_short,cq,superfluous_elements,eval_terms,framing_bias_existing,deviation,framing_bias,notes
CVN,Gold,A circular value network has some process which outlines work done by different actors in this network,What CVN:s are this process used in?,"2: CVN:s, used in",0,,,,
Polifonia,Gold,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music depar",Where was an instrument realization built?,"3: where, instrument realization, built",0,No,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How can data from various sources be integrated and shared using the ontology?,1: ontology,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How can the ontology be extended to include new types of water bodies or attributes?,1: ontology,0,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get","**List of Competency Questions (CQs):**  
CQ1",1: List of Competency Questions (CQs),0,,,,
CVN,NeoNGPT_Qwen3,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.","How does the ontology model the alignment with industry standards (e.g., EN 15804)?","2: ontology, alignment with industry standards",1: alignment,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,How can user profiles and their associated routines be represented in the ontology?,"2: user profiles, routines",0,,,,
Polifonia,Gold,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge",Which is the context of usage of a source?,"2: context of usage, source",0,Yes,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it",How does the ontology support real-time processing of user location and weather data?,"2: ontology, real-time processing",0,,,,
Polifonia,Gold,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge",Which is the goal of a source?,"2: goal, source",0,Yes,,,
CVN,NeoNGPT_GPT4o,Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step,What shared vocabulary does the ontology provide for stakeholders in circular value networks?,1: shared vocabulary,0,,,,
IntelligentBathrooms,Gold,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",What are the attributes of this event category (e.g. a movie has a genre and a set of actors)?,"2: attributes, event category",0,,,,
Polifonia,OntoChat,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk",How can Mark automatically query a range of databases to aid his work?,0,0,No,,,
WHOW,OntoChat,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",What are the water bodies belonging to a specific basin?,0,0,,,,
CVN,NeoNGPT_Qwen3,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.","What are the economic and environmental benefits of recycling a specific material (e.g., ""steel"")?","1: economic, environmental benefits",1: benefits,,,,
