dataset,group,scenario_short,cq,annotation_source,superfluous_elements,eval_terms,se_justified,superfluous_elements_correct,eval_terms_correct,se_justified_correct,notes
Polifonia,NeoNGPT_GPT4o,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting f","What are the metadata details (composer, date, origin, style) of a specific Dutch folk tune?",llm,1: metadata details,0,Justified,,,,
Polifonia,Gold,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in ord,What is the provenance of the event attendees? What and how they happened to be there?,human,"3: provenance, attendees, happened to be there",0,Not Justified,,,,
Polifonia,NeoNGPT_GPT4o,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicolog","What are the notable music festivals that focus on historical and modern performances, and which compositions are featured?",llm,"2: notable, features",1: notable,Not Justified,,,,
Polifonia,OntoChat,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicolog",How were musical instruments used in original compositions and in the 18th century?,human,0,0,N/A,,,,
Polifonia,NeoNGPT_GPT4o,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how",What are the defining characteristics of non-elite music environments throughout history?,llm,1: throughout history,1: non-elite,Not Justified,,,,
Polifonia,NeoNGPT_GPT4o,Sophia is a musicologist and a practising musician. Sophia is interested in understanding the social-historical reasons ,"What are the historical records related to music, medicine, and religion in 17th century Italy?",llm,0,0,N/A,,,,
Polifonia,NeoNGPT_GPT4o,Patrizia is a Demo-Ethno-anthropologist Officer of the Ministry of Culture and she is responsible for the safeguarding o,What are the locations of bell towers involved in sound practices?,llm,0,0,N/A,,,,
Polifonia,NeoNGPT_Qwen3,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. Th","**Note**: The actual list of 100 CQs would be generated by systematically addressing all entities, relationships, and use cases outlined in the ontology requirements, ensuring coverage of core modeling, comparative analysis, contextualization, and integration with external data. Due to length constraints, the full list is not shown here, but the structure and scope are as described.",llm,"I cannot complete this task as requested. The CQ provided is not an actual competency question but rather a meta-comment stating that ""The actual list of 100 CQs would be generated by systematically addressing all entities, relationships, and use cases outlined in the ontology requirements...""

This is not a concrete CQ to analyze against the scenario. To properly annotate superfl",0,Not Justified,,,,
Polifonia,NeoNGPT_Qwen3,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from h","**Note**: The above list is a placeholder to indicate the format. Below is the actual list of competency questions based on the ontology requirements:  

CQ1",llm,"I appreciate your message, but I notice that you haven't provided an actual CQ (Competency Question) to annotate. Your message contains the scenario and instructions, but the CQ itself is missing or marked as a placeholder.

Please provide the specific CQ you'd like me to annotate, and I'll identify any superfluous elements following the rules:

1. Check","I notice you've provided a scenario but no actual competency question (CQ) to annotate. The instruction says ""**Note**: The above list is a placeholder to indicate the format. Below is the actual list of competency questions based on the ontology requirements: CQ1"" but then no CQ text follows.

Please provide the specific competency question you'd like me to",Not Justified,,,,
Polifonia,Gold,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how",Where were the musicians coming from?,human,1: coming from?,0,Not Justified,,,,
