dataset,group,scenario,cq,se_A_flag,se_B_flag,et_A_flag,et_B_flag,source_deviation,framing_bias,notes,gold_source_deviation,gold_framing_bias
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,What temporal aspects are associated with brushing teeth?,ABOVE,ABOVE,BELOW,BELOW,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",What types of weather data can be represented and displayed by the system?,ok,ok,BELOW,BELOW,,,,,
CVN,OntoChat,"Recycling of a product may depend on its material composition, efficiency of recycling.",What are the material composition considerations for recycling a product?,ok,ok,ABOVE,ABOVE,,,,,
CVN,NeoNGPT_GPT4o,"Recycling of a product may depend on its material composition, efficiency of recycling.",25. How can the ontology support automated decision-making in waste management?,ok,ok,ABOVE,ABOVE,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",How many meetings are scheduled in a given week?,ABOVE,ABOVE,BELOW,BELOW,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",How does the presence of a toothbrush and toothpaste influence activity recognition?,ABOVE,ABOVE,ok,ok,,,,,
CVN,NeoNGPT_GPT4o,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,How can human resources be optimized based on the competencies of actors?,ok,ok,ABOVE,ABOVE,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",What free time slots are available on a specific day?,ABOVE,ABOVE,BELOW,BELOW,,,,,
Polifonia,NeoNGPT_GPT4o,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",2. What are the functionalities of different haptic devices used in music experiences?,BELOW,ok,ok,ok,,,,,
CVN,OntoChat,"Recycling of a product may depend on its material composition, efficiency of recycling.",How does the efficiency of recycling affect the sustainability of recycling a product?,ok,ok,ABOVE,ABOVE,,,,,
Polifonia,NeoNGPT_GPT4o,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",How are specific musical instruments used in original compositions compared to modern reinterpretations?,ABOVE,ABOVE,ABOVE,ABOVE,,,,Y,Y
CVN,NeoNGPT_GPT4o,"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",12. What are the potential environmental impacts of the network's operations?,BELOW,BELOW,ok,ok,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,What mechanisms are in place to update the ontology as new activities or temporal definitions are introduced?,ABOVE,ABOVE,BELOW,BELOW,,,,,
CVN,NeoNGPT_GPT4o,A circular value network has some process which outlines work done by different actors in this network,7. What are the lifecycle stages of a product or material within the network?,ok,ok,ABOVE,ABOVE,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,How does the ontology handle queries related to routine detection and analysis?,ABOVE,ABOVE,BELOW,BELOW,,,,,
