Project Name,Nome,Description,Scenario,CQID,Competency Question,SPARQL Query,Dataset
IntelligentBathrooms,Intelligent Bathrooms1,,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",IntBathS1-1a,Who is where in this indoor location?,,
IntelligentBathrooms,Intelligent Bathrooms1,,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",IntBathS1-1b,What sensor data is known about this user's context?,,
IntelligentBathrooms,Intelligent Bathrooms1,,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",IntBathS1-1c,What is the user doing now?,,
IntelligentBathrooms,Intelligent Bathrooms2,,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,IntBathS1-2a,What did the user do previously?,,
IntelligentBathrooms,Intelligent Bathrooms2,,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,IntBathS1-2b,At what time and day of the week did a certain event occur?,,
IntelligentBathrooms,Intelligent Bathrooms2,,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,IntBathS1-2c,"What ""abstract time"" (e.g. ""morning"") is it now according to this particular user?",,
IntelligentBathrooms,Intelligent Bathrooms3,,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,IntBathS1-3a,Where does this user live/where does the system run?,,
IntelligentBathrooms,Intelligent Bathrooms3,,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,IntBathS1-3b,What is the system action preferred by this user in this particular context?,,
IntelligentBathrooms,Intelligent Bathrooms4,,"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",IntBathS1-4a,What is the weather service providing this personalized weather information?,,
IntelligentBathrooms,Intelligent Bathrooms4,,"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",IntBathS1-4b,What are the attributes of this weather service?,,
IntelligentBathrooms,Intelligent Bathrooms4,,"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",IntBathS1-4c,What attribute values for the weather service are to be used in order to derive the personalized weather information for this user?,,
IntelligentBathrooms,Intelligent Bathrooms5,,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",IntBathS1-5a,What devices are available in this indoor location?,,
IntelligentBathrooms,Intelligent Bathrooms5,,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",IntBathS1-5b,What functionalities does this device provide?,,
IntelligentBathrooms,Intelligent Bathrooms5,,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",IntBathS1-5c,Using what device and what functionality of that device should this content be displayed?,,
IntelligentBathrooms,Intelligent Bathrooms5,,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",IntBathS1-5d,"How should this content be presented, given the user's context?",,
IntelligentBathrooms,Intelligent Bathrooms6,,"I like going to the movies when it is raining, and I especially like to see action movies.",IntBathS1-6a,What are the preferred movie categories of the current user?,,
IntelligentBathrooms,Intelligent Bathrooms6,,"I like going to the movies when it is raining, and I especially like to see action movies.",IntBathS1-6b,What does this user prefer to do in a certain situation?,,
IntelligentBathrooms,Intelligent Bathrooms7,,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",IntBathS1-7a,What bookings does the user's calendar contain during a certain time period?,,
IntelligentBathrooms,Intelligent Bathrooms7,,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",IntBathS1-7b,What are the free time periods in the user's calendar today?,,
IntelligentBathrooms,Intelligent Bathrooms8,,"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film that I could see tonight.",IntBathS1-8a,"What events of a specific event category, e.g. movies, are available during a certain time period?",,
IntelligentBathrooms,Intelligent Bathrooms8,,"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film that I could see tonight.",IntBathS1-8b,"What is the most suitable event to propose to the user for a certain time period, based on the weather, the calendar and the user's preferences?",,
IntelligentBathrooms,Intelligent Bathrooms9,,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",IntBathS1-9a,What is the start and end time of this event?,,
IntelligentBathrooms,Intelligent Bathrooms9,,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",IntBathS1-9b,What are the attributes of this event category (e.g. a movie has a genre and a set of actors)?,,
IntelligentBathrooms,Intelligent Bathrooms9,,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",IntBathS1-9c,What are the attribute values for this event?,,
IntelligentBathrooms,Intelligent Bathrooms10,,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",IntBathS1-10a,"What are the options available for this event category/specific event (i.e. what can be customized by the user, e.g. seat selection and time of show for a movie)?",,
IntelligentBathrooms,Intelligent Bathrooms10,,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",IntBathS1-10b,What is the default value of this option for this user in this context?,,
WHOW,Sage#1_WHOW,,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",WHOWHYCQ1,Which water bodies belong to a specific water basin?,,
WHOW,Sage#1_WHOW,,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",WHOWHYCQ4,What types of water bodies can be listed?,,
CVN,CVN Story 1,,"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",cq8,What are the actors involved in this circular value network?,,
CVN,CVN Story 2,,"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",cq6,What is the type of this actor?,,
CVN,CVN Story 3,,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",cq2,What are the roles of this actor in this network?,,
CVN,CVN Story 3,,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",cq11,What are the actors involved in this value network?,,
CVN,CVN Story 4,,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",cq12,What materials does a product consist of?,,
CVN,CVN Story 5,,A circular value network has some process which outlines work done by different actors in this network,cq4,What are the actors involved in the process?,,
CVN,CVN Story 5,,A circular value network has some process which outlines work done by different actors in this network,cq9,What CVN:s are this process used in?,,
CVN,CVN Story 5,,A circular value network has some process which outlines work done by different actors in this network,cq15,What are the actors involved in the process?,,
CVN,CVN Story 6,,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,cq7,What actors hold this competency?,,
CVN,CVN Story 10,,"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",cq10,What are the value propositions of this CVN?,,
CVN,CVN Story 11,,"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",cq13,What is the composition of this material?,,
CVN,CVN Story 12,,"Recycling of a product may depend on its material composition, efficiency of recycling.",cq14,What is the chemical composition of this material?,,
CVN,CVN Story 12,,"Recycling of a product may depend on its material composition, efficiency of recycling.",cq22,What are the materials of this component or product?,,
CVN,CVN Story 13,,"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials, and could also be the outputs coming from another circular value network. Inputs also apply to phases, steps, and work inside the network.",cq16,What is the input?,,
