scenario_key,scenario_text,total_gold_cqs,total_generated_cqs,gold_framing_bias_rate,generated_framing_bias_rate,gold_propagation_rate,generated_propagation_rate,gold_strict_inconsistency_rate,generated_strict_inconsistency_rate,gold_weighted_inconsistency_mean,generated_weighted_inconsistency_mean
amy wants to assess the developments of organ builders this research includes looking into which org,Amy wants to assess the developments of organ builders. This research includes looking into which organs an organ builde,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
anna wants to experience live music with the aid of haptic technology anna who became hearing impair,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, ",2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david is interested in understanding the social history of music eg who were the musicians who was t,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how",2,5,0.5,0.6,0.0,0.2,1.0,0.0,1.0,0.0
for her next research project amy wants to discover artistic and technical trends of organs and how ,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. Th",1,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ortenz would like to have a system for visualising events (meetings of composers and musicians) in t,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in ord,14,5,0.9286,0.2,0.0,0.0,0.8571,0.2,0.8571,0.2
patrizia is a demo-ethno-anthropologist officer of the ministry of culture and she is responsible fo,Patrizia is a Demo-Ethno-anthropologist Officer of the Ministry of Culture and she is responsible for the safeguarding o,11,4,0.5455,0.25,0.0,0.25,1.0,0.25,1.0,0.25
sophia is a musicologist and a practising musician sophia is interested in understanding the social-,Sophia is a musicologist and a practising musician. Sophia is interested in understanding the social-historical reasons ,2,5,1.0,0.2,0.0,0.0,1.0,0.2,1.0,0.2
sophia’s original qualifications and her phd were in music and she is also a practising musician she,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicolog",7,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
mark is interested in understanding how dutch folk tunes relate to other music eg from french court ,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting f",7,5,0.1429,0.0,0.0,0.0,1.0,0.0,0.9286,0.0
persona jorge gonzález is a 28-year-old archaeologist at the alma mater studiorum – università di bo,"Persona

Jorge González is a 28-year-old archaeologist at the Alma Mater Studiorum – Università di Bologna (DiSCi). Whil",0,0,,,,,,,,
successfully plan the restoration of an organ in this scenario paul has to plan a similar restoratio,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from h",6,5,0.8333,0.4,0.0,0.0,1.0,0.2,1.0,0.2
